Name,Website,RawText
'Ksan Historical Village & Museum,http://www.hazeltonstourism.ca/ksan-historical-village-and-museum.html," 

'Ksan Historical Village & Museum
1500 HIGHWAY 62
HAZELTON, British Columbia V0J 1Y0
Canada
http://www.hazeltonstourism.ca/ksan-historical-village-and-museum.html
(250) 842-5544

Notes/Details
Category : Cultural history: Indigenous

Read More
'School Days' Museum
427 QUEEN STREET
FREDERICTON, New Brunswick E3B 5R6
Canada
https://museum.nbta.ca/
(506) 459-3738

Notes/Details
Category : Cultural history: Community/Regional

Read More
1000 Islands History Museum
125 WATER STREET
GANANOQUE, Ontario K7G 3E3
Canada
https://www.1000islandsheritagemuseum.com/
(613) 382-2535

Notes/Details
Category : Cultural history: Community/Regional

Read More
12 Service Battalion Museum
THE SHERMAN ARMOURY, 5500 NO. 4 RD
RICHMOND, British Columbia V6X 3L5
Canada
https://www.tracesofwar.com/sights/11321/12th-Service-Battalion-Museum.htm
(604) 666-4086

Notes/Details
Category : Cultural history: Military

Read More
15th Field Artillery Regiment, RCA Museum and Archives
BESSBOROUGH ARMOURY, 2025 WEST 11TH AVENUE
VANCOUVER, British Columbia V6J 2C7
Canada
https://www.memorybc.ca/museum-of-15th-field-artillery-regiment
(604) 666-4370

Notes/Details
Category : Cultural history: Military

Read More
17 Wing Heritage Collection
AIR HERITAGE PARK, AIR FORCE WAY
WINNIPEG, Manitoba R3J 3Y5
Canada
https://rcaf-arc.forces.gc.ca/en/17-wing/index.page
(204) 833-2500 ext 5613

Notes/Details
Category : Cultural history: Transportation/Industry

Read More
1810 Carter House
874 ROUTE 845
KINGSTON, New Brunswick E5N 1R7
Canada
https://www.kingstonnb.ca/the-1810-carter-house
(506) 832-2902

Notes/Details
Category : Library and/or Archive

Read More
26th Field Regiment RCA/XII Manitoba Dragoons Museum
1116 VICTORIA AVENUE
BRANDON, Manitoba R7A 1B2
Canada
http://www.26fdregmuseum.ca/
(204) 717-4579

Notes/Details
Category : Cultural history: Military

Read More
31 Service Battalion Museum
650 CATHERINE STREET NORTH
HAMILTON, Ontario L8L 4V7
Canada
https://www.facebook.com/31SvcBnMuseum/ OR https://www.instagram.com/31svcbnmuseum/
(905) 972-4000 x6554

Notes/Details
Category : Cultural history: Military Library and/or Archive

Read More
42nd Field Regiment (Lanark & Renfrew Scottish) RCA Regimental Museum
177 VICTORIA STREET
PEMBROKE, Ontario K8A 4K2
Canada
http://www.renfrewcountymuseums.org/museums/42nd-field-regimental-museum/
(613) 588-6166 x263

Notes/Details
Category : Cultural history: Military Library and/or Archive

Read More"
'Ksan Historical Village & Museum,http://www.hazeltonstourism.ca/ksan-historical-village-and-museum.html,"'Ksan Historical Village & Museum
1500 HIGHWAY 62
HAZELTON, British Columbia V0J 1Y0
Canada
http://www.hazeltonstourism.ca/ksan-historical-village-and-museum.html
(250) 842-5544

Notes/Details
Category : Cultural history: Indigenous

Read More"
'School Days' Museum,https://museum.nbta.ca/,"'School Days' Museum
427 QUEEN STREET
FREDERICTON, New Brunswick E3B 5R6
Canada
https://museum.nbta.ca/
(506) 459-3738

Notes/Details
Category : Cultural history: Community/Regional

Read More"
1000 Islands History Museum,https://www.1000islandsheritagemuseum.com/,"1000 Islands History Museum
125 WATER STREET
GANANOQUE, Ontario K7G 3E3
Canada
https://www.1000islandsheritagemuseum.com/
(613) 382-2535

Notes/Details
Category : Cultural history: Community/Regional

Read More"
12 Service Battalion Museum,https://www.tracesofwar.com/sights/11321/12th-Service-Battalion-Museum.htm,"12 Service Battalion Museum
THE SHERMAN ARMOURY, 5500 NO. 4 RD
RICHMOND, British Columbia V6X 3L5
Canada
https://www.tracesofwar.com/sights/11321/12th-Service-Battalion-Museum.htm
(604) 666-4086

Notes/Details
Category : Cultural history: Military

Read More"
"15th Field Artillery Regiment, RCA Museum and Archives",https://www.memorybc.ca/museum-of-15th-field-artillery-regiment,"15th Field Artillery Regiment, RCA Museum and Archives
BESSBOROUGH ARMOURY, 2025 WEST 11TH AVENUE
VANCOUVER, British Columbia V6J 2C7
Canada
https://www.memorybc.ca/museum-of-15th-field-artillery-regiment
(604) 666-4370

Notes/Details
Category : Cultural history: Military

Read More"
17 Wing Heritage Collection,https://rcaf-arc.forces.gc.ca/en/17-wing/index.page,"17 Wing Heritage Collection
AIR HERITAGE PARK, AIR FORCE WAY
WINNIPEG, Manitoba R3J 3Y5
Canada
https://rcaf-arc.forces.gc.ca/en/17-wing/index.page
(204) 833-2500 ext 5613

Notes/Details
Category : Cultural history: Transportation/Industry

Read More"
1810 Carter House,https://www.kingstonnb.ca/the-1810-carter-house,"1810 Carter House
874 ROUTE 845
KINGSTON, New Brunswick E5N 1R7
Canada
https://www.kingstonnb.ca/the-1810-carter-house
(506) 832-2902

Notes/Details
Category : Library and/or Archive

Read More"
26th Field Regiment RCA/XII Manitoba Dragoons Museum,http://www.26fdregmuseum.ca/,"26th Field Regiment RCA/XII Manitoba Dragoons Museum
1116 VICTORIA AVENUE
BRANDON, Manitoba R7A 1B2
Canada
http://www.26fdregmuseum.ca/
(204) 717-4579

Notes/Details
Category : Cultural history: Military

Read More"
31 Service Battalion Museum,https://www.facebook.com/31SvcBnMuseum/,"31 Service Battalion Museum
650 CATHERINE STREET NORTH
HAMILTON, Ontario L8L 4V7
Canada
https://www.facebook.com/31SvcBnMuseum/ OR https://www.instagram.com/31svcbnmuseum/
(905) 972-4000 x6554

Notes/Details
Category : Cultural history: Military Library and/or Archive

Read More"
